,state,population_over_15,married_males_last_year,married_females_last_year,divorced_males_last_year,divorced_females_last_year,state,year,married_last_year,divorced_last_year
318,New Jersey,7377448,52350,52582,22944.0,23708.0,34,2017,104932,46652.0
319,New Mexico,1681966,11256,12962,7709.0,6774.0,35,2017,24218,14483.0
320,New York,16410547,133485,130312,41808.0,50703.0,36,2017,263797,92511.0
321,North Carolina,8377139,73501,74922,31567.0,36660.0,37,2017,148423,68227.0
322,North Dakota,606716,6746,6774,2371.0,2595.0,38,2017,13520,4966.0
323,Ohio,9515823,83849,84776,32434.0,37475.0,39,2017,168625,69909.0
324,Oklahoma,3129329,31396,32077,16251.0,16843.0,40,2017,63473,33094.0
325,Oregon,3416916,30763,30671,13937.0,13949.0,41,2017,61434,27886.0
326,Pennsylvania,10611437,85287,85831,34528.0,37563.0,42,2017,171118,72091.0
327,Rhode Island,890333,6121,5075,2294.0,3321.0,44,2017,11196,5615.0
328,South Carolina,4110098,32506,34628,16013.0,18612.0,45,2017,67134,34625.0
329,South Dakota,690282,6577,6175,3847.0,2670.0,46,2017,12752,6517.0
330,Tennessee,5466987,53954,55517,24776.0,28847.0,47,2017,109471,53623.0
331,Texas,22164607,229661,224915,88612.0,92008.0,48,2017,454576,180620.0
332,Vermont,526751,3981,4008,1364.0,1945.0,50,2017,7989,3309.0
333,Utah,2327933,32506,31711,11275.0,10544.0,49,2017,64217,21819.0
334,Virginia,6919620,65344,63509,27878.0,28481.0,51,2017,128853,56359.0
335,Washington,6028802,58637,54377,24541.0,25563.0,53,2017,113014,50104.0
336,West Virginia,1505831,12306,12127,8397.0,6888.0,54,2017,24433,15285.0
337,Wisconsin,4739661,39469,38717,16879.0,16100.0,55,2017,78186,32979.0
